name,owner,version,source,license,copyleft,notes
debug,Josh Junon (https://github.com/qix-),4.4.3,git://github.com/debug-js/debug,MIT,no,
default-browser,Sindre Sorhus,5.5.0,sindresorhus/default-browser,MIT,no,
default-browser-id,Sindre Sorhus,5.0.1,sindresorhus/default-browser-id,MIT,no,
define-lazy-prop,Sindre Sorhus,3.0.0,sindresorhus/define-lazy-prop,MIT,no,
delayed-stream,Felix Geisendörfer,1.0.0,git://github.com/felixge/node-delayed-stream,MIT,no,
depd,Douglas Christopher Wilson,2.0.0,dougwilson/nodejs-depd,MIT,no,
dependency-graph,Jim Riecken,1.0.0,git://github.com/jriecken/dependency-graph,MIT,no,
destroy,Jonathan Ong,1.2.0,stream-utils/destroy,MIT,no,
diff,Kevin Decker <kpdecker@gmail.com> (http://incaseofstairs.com),4.0.4,git://github.com/kpdecker/jsdiff,BSD-3-Clause,no,
dom-serializer,Felix Boehm,2.0.0,git://github.com/cheeriojs/dom-serializer,MIT,no,
domelementtype,Felix Boehm,2.3.0,git://github.com/fb55/domelementtype,BSD-2-Clause,no,
domhandler,Felix Boehm,5.0.3,git://github.com/fb55/domhandler,BSD-2-Clause,no,
domutils,Felix Boehm,3.2.2,git://github.com/fb55/domutils,BSD-2-Clause,no,
dotenv,,16.6.1,git://github.com/motdotla/dotenv,BSD-2-Clause,no,
dunder-proto,Jordan Harband,1.0.1,https://github.com/es-shims/dunder-proto,MIT,no,
ecdsa-sig-formatter,D2L Corporation,1.0.11,ssh://git@github.com/Brightspace/node-ecdsa-sig-formatter,Apache-2.0,no,
ee-first,Jonathan Ong,1.1.1,jonathanong/ee-first,MIT,no,
encodeurl,,2.0.0,pillarjs/encodeurl,MIT,no,
end-of-stream,Mathias Buus,1.4.5,git://github.com/mafintosh/end-of-stream,MIT,no,
entities,Felix Boehm,4.5.0,git://github.com/fb55/entities,BSD-2-Clause,no,
es-define-property,Jordan Harband,1.0.1,https://github.com/ljharb/es-define-property,MIT,no,
es-errors,Jordan Harband,1.3.0,https://github.com/ljharb/es-errors,MIT,no,
es-object-atoms,Jordan Harband,1.1.1,https://github.com/ljharb/es-object-atoms,MIT,no,
es-set-tostringtag,Jordan Harband,2.1.0,https://github.com/es-shims/es-set-tostringtag,MIT,no,
escape-html,,1.0.3,component/escape-html,MIT,no,
etag,,1.8.1,jshttp/etag,MIT,no,
express,TJ Holowaychuk,4.22.1,expressjs/express,MIT,no,
fast-copy,tony_quetano@planttheidea.com,4.0.2,https://github.com/planttheidea/fast-copy,MIT,no,
fast-safe-stringify,David Mark Clements,2.1.1,https://github.com/davidmarkclements/fast-safe-stringify,MIT,no,
filename-reserved-regex,Sindre Sorhus,3.0.0,sindresorhus/filename-reserved-regex,MIT,no,
filenamify,Sindre Sorhus,6.0.0,sindresorhus/filenamify,MIT,no,
finalhandler,Douglas Christopher Wilson,1.3.2,pillarjs/finalhandler,MIT,no,
follow-redirects,Ruben Verborgh,1.15.11,ssh://git@github.com/follow-redirects/follow-redirects,MIT,no,
form-data,Felix Geisendörfer,4.0.5,git://github.com/form-data/form-data,MIT,no,
forwarded,,0.2.0,jshttp/forwarded,MIT,no,
fresh,TJ Holowaychuk,0.5.2,jshttp/fresh,MIT,no,
fs-extra,JP Richardson,11.3.3,https://github.com/jprichardson/node-fs-extra,MIT,no,
function-bind,Raynos,1.1.2,https://github.com/Raynos/function-bind,MIT,no,
get-intrinsic,Jordan Harband,1.3.0,https://github.com/ljharb/get-intrinsic,MIT,no,
get-proto,Jordan Harband,1.0.1,https://github.com/ljharb/get-proto,MIT,no,
gopd,Jordan Harband,1.2.0,https://github.com/ljharb/gopd,MIT,no,
graceful-fs,,4.2.11,https://github.com/isaacs/node-graceful-fs,ISC,no,
has-symbols,Jordan Harband,1.1.0,git://github.com/inspect-js/has-symbols,MIT,no,
has-tostringtag,Jordan Harband,1.0.2,https://github.com/inspect-js/has-tostringtag,MIT,no,
hasown,Jordan Harband,2.0.2,https://github.com/inspect-js/hasOwn,MIT,no,
help-me,Matteo Collina,5.0.0,https://github.com/mcollina/help-me,MIT,no,
htmlparser2,Felix Boehm,9.1.0,git://github.com/fb55/htmlparser2,MIT,no,
http-errors,Jonathan Ong,2.0.1,jshttp/http-errors,MIT,no,
http-proxy-agent,Nathan Rajlich,7.0.2,https://github.com/TooTallNate/proxy-agents,MIT,no,
https-proxy-agent,Nathan Rajlich,7.0.6,https://github.com/TooTallNate/proxy-agents,MIT,no,
iconv-lite,Alexander Shtuchkin,0.4.24,git://github.com/ashtuchkin/iconv-lite,MIT,no,
ieee754,Feross Aboukhadijeh,1.2.1,git://github.com/feross/ieee754,BSD-3-Clause,no,
inherits,,2.0.4,git://github.com/isaacs/inherits,ISC,no,
ipaddr.js,whitequark,1.9.1,git://github.com/whitequark/ipaddr.js,MIT,no,
is-docker,Sindre Sorhus,3.0.0,sindresorhus/is-docker,MIT,no,
is-inside-container,Sindre Sorhus,1.0.0,sindresorhus/is-inside-container,MIT,no,
is-wsl,Sindre Sorhus,3.1.1,sindresorhus/is-wsl,MIT,no,
joycon,egoist,3.1.1,egoist/joycon,MIT,no,
jsonfile,JP Richardson,6.2.0,git@github.com:jprichardson/node-jsonfile,MIT,no,
jsonwebtoken,auth0,9.0.3,https://github.com/auth0/node-jsonwebtoken,MIT,no,
jwa,Brian J. Brennan,2.0.1,git://github.com/brianloveswords/node-jwa,MIT,no,
jws,Brian J Brennan,4.0.1,git://github.com/brianloveswords/node-jws,MIT,no,
lodash.includes,John-David Dalton,4.3.0,lodash/lodash,MIT,no,
lodash.isboolean,John-David Dalton,3.0.3,lodash/lodash,MIT,no,
lodash.isinteger,John-David Dalton,4.0.4,lodash/lodash,MIT,no,
lodash.isnumber,John-David Dalton,3.0.3,lodash/lodash,MIT,no,
lodash.isplainobject,John-David Dalton,4.0.6,lodash/lodash,MIT,no,
lodash.isstring,John-David Dalton,4.0.1,lodash/lodash,MIT,no,
lodash.once,John-David Dalton,4.1.1,lodash/lodash,MIT,no,
make-error,Julien Fontanet,1.3.6,git://github.com/JsCommunity/make-error,ISC,no,
math-intrinsics,Jordan Harband,1.1.0,https://github.com/es-shims/math-intrinsics,MIT,no,
media-typer,Douglas Christopher Wilson,0.3.0,jshttp/media-typer,MIT,no,
merge-descriptors,Jonathan Ong,1.0.3,sindresorhus/merge-descriptors,MIT,no,
methods,,1.1.2,jshttp/methods,MIT,no,
mime,Robert Kieffer,1.6.0,https://github.com/broofa/node-mime,MIT,no,
mime-db,,1.52.0,jshttp/mime-db,MIT,no,
mime-types,,2.1.35,jshttp/mime-types,MIT,no,
minimist,James Halliday,1.2.8,git://github.com/minimistjs/minimist,MIT,no,
ms,,2.0.0,zeit/ms,MIT,no,
ms,,2.1.3,vercel/ms,MIT,no,
negotiator,,0.6.3,jshttp/negotiator,MIT,no,
node-fetch,David Frank,2.7.0,https://github.com/bitinn/node-fetch,MIT,no,
object-inspect,James Halliday,1.13.4,git://github.com/inspect-js/object-inspect,MIT,no,
on-exit-leak-free,Matteo Collina,2.1.2,https://github.com/mcollina/on-exit-or-gc,MIT,no,
on-finished,,2.4.1,jshttp/on-finished,MIT,no,
once,Isaac Z. Schlueter,1.4.0,git://github.com/isaacs/once,ISC,no,
open,Sindre Sorhus,10.2.0,sindresorhus/open,MIT,no,
openssl-wrapper,Olivier Louvignes,0.3.4,github:mgcrea/node-openssl-wrapper,MIT,no,
parseurl,,1.3.3,pillarjs/parseurl,MIT,no,
path-to-regexp,,0.1.12,https://github.com/pillarjs/path-to-regexp,MIT,no,
pg,Brian Carlson,8.21.0,git://github.com/brianc/node-postgres,MIT,no,
pg-cloudflare,,1.4.0,git://github.com/brianc/node-postgres,MIT,no,
pg-connection-string,Blaine Bublitz,2.13.0,git://github.com/brianc/node-postgres,MIT,no,
pg-int8,,1.0.1,https://github.com/charmander/pg-int8,ISC,no,
pg-pool,Brian M. Carlson,3.14.0,git://github.com/brianc/node-postgres,MIT,no,
pg-protocol,,1.14.0,git://github.com/brianc/node-postgres,MIT,no,
pg-types,Brian M. Carlson,2.2.0,git://github.com/brianc/node-pg-types,MIT,no,
pgpass,Hannes Hörl,1.0.5,https://github.com/hoegaarden/pgpass,MIT,no,
pino,Matteo Collina,9.14.0,https://github.com/pinojs/pino,MIT,no,
pino-abstract-transport,Matteo Collina,2.0.0,https://github.com/pinojs/pino-abstract-transport,MIT,no,
pino-abstract-transport,Matteo Collina,3.0.0,https://github.com/pinojs/pino-abstract-transport,MIT,no,
pino-pretty,James Sumners,13.1.3,ssh://git@github.com/pinojs/pino-pretty,MIT,no,
pino-std-serializers,James Sumners,7.1.0,ssh://git@github.com/pinojs/pino-std-serializers,MIT,no,
postgres-array,Ben Drucker,2.0.0,bendrucker/postgres-array,MIT,no,
postgres-bytea,Ben Drucker,1.0.1,bendrucker/postgres-bytea,MIT,no,
postgres-date,Ben Drucker,1.0.7,bendrucker/postgres-date,MIT,no,
postgres-interval,Ben Drucker,1.2.0,bendrucker/postgres-interval,MIT,no,
process-warning,Tomas Della Vedova,5.0.0,https://github.com/fastify/process-warning,MIT,no,
proxy-addr,Douglas Christopher Wilson,2.0.7,jshttp/proxy-addr,MIT,no,
proxy-from-env,Rob Wu,1.1.0,https://github.com/Rob--W/proxy-from-env,MIT,no,
pump,Mathias Buus Madsen,3.0.3,git://github.com/mafintosh/pump.git,MIT,no,
qs,,6.14.2,https://github.com/ljharb/qs,BSD-3-Clause,no,
quick-format-unescaped,David Mark Clements,4.0.4,https://github.com/davidmarkclements/quick-format,MIT,no,
range-parser,TJ Holowaychuk,1.2.1,jshttp/range-parser,MIT,no,
raw-body,Jonathan Ong,2.5.3,stream-utils/raw-body,MIT,no,
real-require,Paolo Insogna,0.2.0,https://github.com/pinojs/real-require,MIT,no,
rsa-pem-from-mod-exp,Michael J. Ryan,0.8.6,git://github.com/tracker1/node-rsa-pem-from-mod-exp,MIT,no,
run-applescript,Sindre Sorhus,7.1.0,sindresorhus/run-applescript,MIT,no,
safe-buffer,Feross Aboukhadijeh,5.2.1,git://github.com/feross/safe-buffer,MIT,no,
safe-stable-stringify,Ruben Bridgewater,2.5.0,https://github.com/BridgeAR/safe-stable-stringify,MIT,no,
safer-buffer,Nikita Skovoroda,2.1.2,https://github.com/ChALkeR/safer-buffer,MIT,no,
secure-json-parse,Eran Hammer,4.1.0,https://github.com/fastify/secure-json-parse,BSD-3-Clause,no,
semver,GitHub Inc.,7.7.4,https://github.com/npm/node-semver,ISC,no,
send,TJ Holowaychuk,0.19.2,pillarjs/send,MIT,no,
serve-static,Douglas Christopher Wilson,1.16.3,expressjs/serve-static,MIT,no,
setprototypeof,Wes Todd,1.2.0,https://github.com/wesleytodd/setprototypeof,ISC,no,
side-channel,Jordan Harband,1.1.0,https://github.com/ljharb/side-channel,MIT,no,
side-channel-list,Jordan Harband,1.0.0,https://github.com/ljharb/side-channel-list,MIT,no,
side-channel-map,Jordan Harband,1.0.1,https://github.com/ljharb/side-channel-map,MIT,no,
side-channel-weakmap,Jordan Harband,1.0.2,https://github.com/ljharb/side-channel-weakmap,MIT,no,
sonic-boom,Matteo Collina,4.2.1,https://github.com/pinojs/sonic-boom,MIT,no,
split2,Matteo Collina,4.2.0,https://github.com/mcollina/split2,ISC,no,
statuses,,2.0.2,jshttp/statuses,MIT,no,
strip-json-comments,Sindre Sorhus,5.0.3,sindresorhus/strip-json-comments,MIT,no,
thread-stream,Matteo Collina,3.1.0,https://github.com/mcollina/thread-stream,MIT,no,
toidentifier,Douglas Christopher Wilson,1.0.1,component/toidentifier,MIT,no,
tr46,Sebastian Mayr,0.0.3,https://github.com/Sebmaster/tr46.js,MIT,no,
ts-node,Blake Embrey,10.9.2,git://github.com/TypeStrong/ts-node,MIT,no,
tslib,Microsoft Corp.,2.8.1,https://github.com/Microsoft/tslib,0BSD,no,
type-is,,1.6.18,jshttp/type-is,MIT,no,
typescript,Microsoft Corp.,5.9.3,https://github.com/microsoft/TypeScript,Apache-2.0,no,
undici-types,,6.21.0,https://github.com/nodejs/undici,MIT,no,
universalify,Ryan Zimmerman,2.0.1,https://github.com/RyanZim/universalify,MIT,no,
unpipe,Douglas Christopher Wilson,1.0.0,stream-utils/unpipe,MIT,no,
utils-merge,Jared Hanson,1.0.1,git://github.com/jaredhanson/utils-merge,MIT,no,
uuid,,10.0.0,https://github.com/uuidjs/uuid,MIT,no,
uuid,,8.3.2,https://github.com/uuidjs/uuid,MIT,no,
v8-compile-cache-lib,Andrew Bradley,3.0.1,https://github.com/cspotcode/v8-compile-cache-lib,MIT,no,
vary,Douglas Christopher Wilson,1.1.2,jshttp/vary,MIT,no,
webidl-conversions,Domenic Denicola,3.0.1,jsdom/webidl-conversions,BSD-2-Clause,no,
whatwg-url,Sebastian Mayr,5.0.0,jsdom/whatwg-url,MIT,no,
wrappy,Isaac Z. Schlueter,1.0.2,https://github.com/npm/wrappy,ISC,no,
ws,Einar Otto Stangvik,7.5.10,websockets/ws,MIT,no,
wsl-utils,Sindre Sorhus,0.1.0,sindresorhus/wsl-utils,MIT,no,
xtend,Raynos,4.0.2,git://github.com/Raynos/xtend.git,MIT,no,
yn,Sindre Sorhus,3.1.1,sindresorhus/yn,MIT,no,
zod,Colin McDonnell,3.25.76,https://github.com/colinhacks/zod,MIT,no,
